enddate,approval_type,rate,year
2017-04-11,approve,41.162813,2017
2017-04-11,disapprove,50.477711,2017
2017-04-09,approve,47.686784,2017
2017-04-09,disapprove,48.055805,2017
2017-04-09,approve,44.37161,2017
2017-04-09,disapprove,48.419838,2017
2017-04-10,approve,41.608387,2017
2017-04-10,disapprove,54.626013,2017
2017-04-10,approve,49.351563,2017
2017-04-10,disapprove,44.880389,2017
2017-04-10,approve,40.861441,2017
2017-04-10,disapprove,52.539189,2017
2017-04-11,approve,49.851563,2017
2017-04-11,disapprove,45.180389,2017
2017-04-10,approve,43.948636,2017
2017-04-10,disapprove,49.76658,2017
2017-04-11,approve,41.861441,2017
2017-04-11,disapprove,50.539189,2017
